n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa,lote
41,1.0,0.0,20261011,0.4275362318840579,0.6690821256038648,0.01,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.4952380952380952,0.7380952380952381,1.0,1.0,6,0.5121951219512195,extra
41,1.0,0.0,20261011,0.4010416666666667,0.5,0.01,0.5,0,0.7804878048780488,extra
41,1.0,0.0,20261011,0.4617224880382775,0.5,0.01,0.5,0,0.5365853658536586,extra
41,1.0,0.0,20261011,0.5619047619047619,0.8285714285714285,1.0,1.0,7,0.5121951219512195,extra
41,1.0,0.0,20261011,0.45054945054945056,0.7912087912087913,1.0,1.0,5,0.6829268292682927,extra
41,1.0,0.0,20261011,0.6280193236714975,0.8405797101449276,0.1,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.4367816091954023,0.5,0.01,0.5,0,0.7073170731707317,extra
41,1.0,0.0,20261011,0.6499999999999999,0.8300000000000001,1.0,1.0,6,0.6097560975609756,extra
41,1.0,0.0,20261011,0.42097701149425293,0.5,0.01,0.5,0,0.7073170731707317,extra
41,1.0,0.0,20261011,0.42592592592592593,0.5,0.01,0.5,0,0.6585365853658537,extra
41,1.0,0.0,20261011,0.5,0.5,0.01,0.5,0,0.6341463414634146,extra
41,1.0,0.0,20261011,0.4666666666666667,0.5,0.01,0.5,0,0.5121951219512195,extra
41,1.0,0.0,20261011,0.5784313725490196,0.7303921568627451,0.01,0.0,9,0.5853658536585366,extra
41,1.0,0.0,20261011,0.69377990430622,0.8253588516746412,1.0,1.0,6,0.5365853658536586,extra
41,1.0,0.0,20261011,0.3721264367816092,0.5,0.01,0.5,0,0.7073170731707317,extra
41,1.0,0.0,20261011,0.49033816425120774,0.7608695652173912,1.0,1.0,7,0.5609756097560976,extra
41,1.0,0.0,20261011,0.3968253968253968,0.5,0.01,0.5,0,0.6585365853658537,extra
41,1.0,0.0,20261011,0.5893719806763285,0.7318840579710144,0.01,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.45875000000000005,0.72,1.0,0.5,5,0.6097560975609756,extra
41,1.0,0.0,20261011,0.3713235294117647,0.5,0.01,0.5,0,0.5853658536585366,extra
41,1.0,0.0,20261011,0.6967741935483871,0.7451612903225806,0.01,0.0,9,0.7560975609756098,extra
41,1.0,0.0,20261011,0.6724137931034483,0.8764367816091954,1.0,1.0,6,0.7073170731707317,extra
41,1.0,0.0,20261011,0.6937799043062202,0.8373205741626794,0.1,0.0,9,0.5365853658536586,extra
41,1.0,0.0,20261011,0.4951690821256039,0.6859903381642511,0.01,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.4807692307692308,0.8102564102564103,1.0,1.0,6,0.6341463414634146,extra
41,1.0,0.0,20261011,0.37125,0.6975,1.0,1.0,5,0.6097560975609756,extra
41,1.0,0.0,20261011,0.4491758241758242,0.5,0.01,0.5,0,0.6829268292682927,extra
41,1.0,0.0,20261011,0.5978835978835979,0.8227513227513227,1.0,0.0,9,0.6585365853658537,extra
41,1.0,0.0,20261011,0.4756944444444444,0.5,0.01,0.5,0,0.7804878048780488,extra
41,1.0,0.0,20261011,0.49313186813186816,0.6593406593406593,0.01,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.3088235294117647,0.7794117647058822,1.0,0.0,9,0.5853658536585366,extra
41,1.0,0.0,20261011,0.6565934065934066,0.7692307692307693,0.01,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.53125,0.7291666666666666,0.01,0.0,9,0.7804878048780488,extra
41,1.0,0.0,20261011,0.4142857142857142,0.7095238095238096,1.0,0.0,9,0.5121951219512195,extra
41,1.0,0.0,20261011,0.5023923444976076,0.5,0.01,0.5,0,0.5365853658536586,extra
41,1.0,0.0,20261011,0.4925,0.8,1.0,0.0,9,0.6097560975609756,extra
41,1.0,0.0,20261011,0.4545454545454546,0.5,0.01,0.5,0,0.8048780487804879,extra
41,1.0,0.0,20261011,0.5357142857142858,0.7582417582417582,0.1,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.5263157894736843,0.8086124401913876,1.0,1.0,5,0.5365853658536586,extra
41,1.0,0.0,20261011,0.40808823529411764,0.6593137254901961,0.1,0.0,9,0.5853658536585366,extra
41,1.0,0.0,20261011,0.65,0.8384615384615385,1.0,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.3897435897435897,0.5,0.01,0.5,0,0.6341463414634146,extra
41,1.0,0.0,20261011,0.7181818181818183,0.7878787878787878,0.01,0.0,9,0.7317073170731707,extra
41,1.0,0.0,20261011,0.4612903225806452,0.8548387096774193,1.0,0.0,9,0.7560975609756098,extra
41,1.0,0.0,20261011,0.38516746411483255,0.5,0.01,0.5,0,0.5365853658536586,extra
