n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa,variante
41,-1.0,0.0,-1,0.4525,0.5,0.01,0.5,0,0.6097560975609756,copula
41,-1.0,0.0,-1,0.4154589371980676,0.5,0.01,0.5,0,0.5609756097560976,copula
41,-1.0,0.0,-1,0.46135265700483086,0.6328502415458938,0.01,0.0,9,0.5609756097560976,copula
41,-1.0,0.0,-1,0.4474358974358975,0.7333333333333334,1.0,0.0,9,0.6341463414634146,copula
41,-1.0,0.0,-1,0.5355392156862746,0.5,0.01,0.5,0,0.5853658536585366,copula
41,-1.0,0.0,-1,0.4166666666666667,0.5,0.01,0.5,0,0.5121951219512195,copula
41,-1.0,0.0,-1,0.38359788359788366,0.5,0.01,0.5,0,0.6585365853658537,copula
41,-1.0,0.0,-1,0.4595588235294118,0.5,0.01,0.5,0,0.5853658536585366,copula
41,-1.0,0.0,-1,0.6243386243386244,0.7433862433862435,0.01,0.0,9,0.6585365853658537,copula
41,-1.0,0.0,-1,0.7005494505494505,0.9203296703296704,1.0,1.0,6,0.6829268292682927,copula
41,-1.0,0.0,-1,0.532051282051282,0.5,0.01,0.5,0,0.6341463414634146,copula
41,-1.0,0.0,-1,0.5474137931034484,0.5,0.01,0.5,0,0.7073170731707317,copula
41,-1.0,0.0,-1,0.40804597701149425,0.7988505747126438,1.0,0.0,9,0.7073170731707317,copula
41,-1.0,0.0,-1,0.4603174603174603,0.6825396825396826,1.0,1.0,4,0.6585365853658537,copula
41,-1.0,0.0,-1,0.6375661375661376,0.8624338624338623,1.0,0.0,9,0.6585365853658537,copula
41,-1.0,0.0,-1,0.4867149758454107,0.5,0.01,0.5,0,0.43902439024390244,copula
41,-1.0,0.0,-1,0.5621693121693121,0.7275132275132276,0.1,0.5,2,0.6585365853658537,copula
41,-1.0,0.0,-1,0.3969696969696969,0.7606060606060606,0.1,0.0,9,0.7317073170731707,copula
41,-1.0,0.0,-1,0.6838235294117647,0.8259803921568628,1.0,1.0,5,0.5853658536585366,copula
41,-1.0,0.0,-1,0.7071428571428571,0.861904761904762,1.0,0.5,6,0.5121951219512195,copula
41,-1.0,0.0,-1,0.5476190476190477,0.8174603174603174,1.0,1.0,5,0.6585365853658537,copula
41,-1.0,0.0,-1,0.5531400966183575,0.7681159420289855,0.1,0.0,9,0.5609756097560976,copula
41,-1.0,0.0,-1,0.626984126984127,0.873015873015873,1.0,0.0,9,0.6585365853658537,copula
41,-1.0,0.0,-1,0.4755747126436782,0.5833333333333334,0.01,0.0,9,0.7073170731707317,copula
41,-1.0,0.0,-1,0.40096618357487923,0.6328502415458938,0.01,0.0,9,0.5609756097560976,copula
41,-1.0,0.0,-1,0.5357142857142857,0.651098901098901,0.01,0.0,9,0.6829268292682927,copula
41,-1.0,0.0,-1,0.48000000000000004,0.78,1.0,0.5,6,0.6097560975609756,copula
41,-1.0,0.0,-1,0.6695402298850575,0.8764367816091954,1.0,1.0,4,0.7073170731707317,copula
41,-1.0,0.0,-1,0.4675,0.5,0.01,0.5,0,0.6097560975609756,copula
41,-1.0,0.0,-1,0.35806451612903223,0.5,0.01,0.5,0,0.7560975609756098,copula
41,-1.0,0.0,-1,0.4303030303030303,0.7818181818181819,1.0,0.0,9,0.7317073170731707,copula
41,-1.0,0.0,-1,0.47500000000000003,0.79,1.0,1.0,6,0.6097560975609756,copula
41,-1.0,0.0,-1,0.5542328042328042,0.8756613756613756,1.0,0.0,9,0.6585365853658537,copula
41,-1.0,0.0,-1,0.4368131868131868,0.5,0.01,0.5,0,0.6829268292682927,copula
41,-1.0,0.0,-1,0.5571428571428572,0.6904761904761905,0.01,0.0,9,0.4878048780487805,copula
