n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa
41,1.0,0.0,20260711,0.6666666666666667,0.7589743589743589,0.1,0.5,1,0.6341463414634146
41,1.0,0.0,20260711,0.5615384615384615,0.7538461538461538,0.1,0.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.46014492753623193,0.5,0.01,0.5,0,0.5609756097560976
41,1.0,0.0,20260711,0.5606060606060606,0.7969696969696969,1.0,0.0,9,0.7317073170731707
41,1.0,0.0,20260711,0.46957671957671965,0.7962962962962963,1.0,1.0,6,0.6585365853658537
41,1.0,0.0,20260711,0.46052631578947373,0.5,0.01,0.5,0,0.5365853658536586
41,1.0,0.0,20260711,0.6709677419354838,0.732258064516129,0.01,0.0,9,0.7560975609756098
41,1.0,0.0,20260711,0.7129186602870814,0.9043062200956937,1.0,0.5,8,0.5365853658536586
41,1.0,0.0,20260711,0.6956521739130433,0.7681159420289856,0.01,0.0,9,0.5609756097560976
41,1.0,0.0,20260711,0.6456043956043955,0.7142857142857143,0.01,0.0,9,0.6829268292682927
41,1.0,0.0,20260711,0.46825396825396826,0.6455026455026455,0.01,0.0,9,0.6585365853658537
41,1.0,0.0,20260711,0.4985632183908046,0.5,0.01,0.5,0,0.7073170731707317
41,1.0,0.0,20260711,0.464975845410628,0.5,0.01,0.5,0,0.5609756097560976
41,1.0,0.0,20260711,0.5515151515151515,0.5,0.01,0.5,0,0.7317073170731707
41,1.0,0.0,20260711,0.5253623188405797,0.823671497584541,1.0,0.0,9,0.5609756097560976
41,1.0,0.0,20260711,0.35795454545454547,0.75,0.1,0.0,9,0.8048780487804879
41,1.0,0.0,20260711,0.50875,0.5,0.01,0.5,0,0.6097560975609756
41,1.0,0.0,20260711,0.45625,0.7224999999999999,1.0,1.0,4,0.6097560975609756
41,1.0,0.0,20260711,0.4397435897435898,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260711,0.4121212121212121,0.5,0.01,0.5,0,0.7317073170731707
41,1.0,0.0,20260711,0.6534391534391534,0.8783068783068783,1.0,0.5,9,0.6585365853658537
41,1.0,0.0,20260711,0.52,0.79,0.1,0.0,9,0.6097560975609756
41,1.0,0.0,20260711,0.5153846153846154,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260711,0.3722527472527472,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260711,0.635897435897436,0.817948717948718,1.0,0.5,7,0.6341463414634146
41,1.0,0.0,20260711,0.42524509803921573,0.6715686274509804,0.01,0.0,9,0.5853658536585366
41,1.0,0.0,20260711,0.6230769230769231,0.8038461538461539,0.1,0.5,1,0.6341463414634146
41,1.0,0.0,20260711,0.47413793103448276,0.5977011494252874,0.01,0.0,9,0.7073170731707317
41,1.0,0.0,20260711,0.5190476190476191,0.5,0.01,0.5,0,0.5121951219512195
41,1.0,0.0,20260711,0.7060439560439561,0.8021978021978022,0.01,0.0,9,0.6829268292682927
41,1.0,0.0,20260711,0.4153846153846154,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260711,0.6336206896551725,0.9109195402298851,1.0,1.0,6,0.7073170731707317
41,1.0,0.0,20260711,0.34339080459770116,0.7672413793103449,0.1,0.0,9,0.7073170731707317
41,1.0,0.0,20260711,0.44625,0.5,0.01,0.5,0,0.6097560975609756
41,1.0,0.0,20260711,0.3014354066985646,0.722488038277512,1.0,0.5,8,0.5365853658536586
41,1.0,0.0,20260711,0.36714975845410636,0.5,0.01,0.5,0,0.5609756097560976
41,1.0,0.0,20260711,0.45625000000000004,0.5,0.01,0.5,0,0.6097560975609756
